2019-02-08 20:12:33.809 ERROR --- [http-nio-9999-exec-5] com.example.acm.service.deal.Impl.InvitationDealImpl Line:124 - java.lang.Integer cannot be cast to java.lang.String
2019-02-08 22:36:08.410 ERROR --- [http-nio-9999-exec-2] com.example.acm.service.deal.Impl.InvitationDealImpl Line:124 - Index: 0, Size: 0
2019-02-08 22:36:10.455 ERROR --- [http-nio-9999-exec-7] com.example.acm.service.deal.Impl.InvitationDealImpl Line:124 - Index: 0, Size: 0
2019-02-08 22:36:42.034 ERROR --- [http-nio-9999-exec-7] com.example.acm.service.deal.Impl.InvitationDealImpl Line:124 - Index: 0, Size: 0
2019-02-08 22:36:56.166 ERROR --- [http-nio-9999-exec-7] com.example.acm.service.deal.Impl.InvitationDealImpl Line:124 - Index: 0, Size: 0
2019-02-08 22:37:00.150 ERROR --- [http-nio-9999-exec-1] com.example.acm.service.deal.Impl.InvitationDealImpl Line:124 - Index: 0, Size: 0
2019-02-08 22:37:40.710 ERROR --- [http-nio-9999-exec-7] com.example.acm.service.deal.Impl.InvitationDealImpl Line:124 - Index: 0, Size: 0
2019-02-08 22:37:44.796 ERROR --- [http-nio-9999-exec-8] com.example.acm.service.deal.Impl.InvitationDealImpl Line:124 - Index: 0, Size: 0
2019-02-08 22:37:50.475 ERROR --- [http-nio-9999-exec-5] com.example.acm.service.deal.Impl.InvitationDealImpl Line:124 - Index: 0, Size: 0
2019-02-08 22:38:38.860 ERROR --- [http-nio-9999-exec-3] com.example.acm.service.deal.Impl.InvitationDealImpl Line:124 - Index: 0, Size: 0
2019-02-08 22:38:40.599 ERROR --- [http-nio-9999-exec-7] com.example.acm.service.deal.Impl.InvitationDealImpl Line:124 - Index: 0, Size: 0
2019-02-08 22:38:57.680 ERROR --- [http-nio-9999-exec-10] com.example.acm.service.deal.Impl.InvitationDealImpl Line:124 - Index: 0, Size: 0
2019-02-08 22:38:58.666 ERROR --- [http-nio-9999-exec-2] com.example.acm.service.deal.Impl.InvitationDealImpl Line:124 - Index: 0, Size: 0
2019-02-08 22:39:16.997 ERROR --- [http-nio-9999-exec-6] com.example.acm.service.deal.Impl.InvitationDealImpl Line:124 - Index: 0, Size: 0
2019-02-08 22:39:17.939 ERROR --- [http-nio-9999-exec-3] com.example.acm.service.deal.Impl.InvitationDealImpl Line:124 - Index: 0, Size: 0
2019-02-08 22:39:43.899 ERROR --- [http-nio-9999-exec-10] com.example.acm.service.deal.Impl.InvitationDealImpl Line:124 - Index: 0, Size: 0
2019-02-08 22:39:48.780 ERROR --- [http-nio-9999-exec-3] com.example.acm.service.deal.Impl.InvitationDealImpl Line:124 - Index: 0, Size: 0
2019-02-08 22:41:06.736 ERROR --- [http-nio-9999-exec-3] com.example.acm.service.deal.Impl.InvitationDealImpl Line:124 - Index: 0, Size: 0
2019-02-08 22:41:08.721 ERROR --- [http-nio-9999-exec-7] com.example.acm.service.deal.Impl.InvitationDealImpl Line:124 - Index: 0, Size: 0
2019-02-08 22:42:07.688 ERROR --- [http-nio-9999-exec-2] com.example.acm.service.deal.Impl.InvitationDealImpl Line:124 - Index: 0, Size: 0
